stim,condition
tasks/MST/MST_phase2/MST_phase_2_ListA/001a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/002a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/003a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/004a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/005a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/006a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/007a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/008a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/017a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/018a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/019a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/020a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/021a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/022a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/023a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/024a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/033a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/034a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/035a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/036a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/037a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/038a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/039a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/040a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/049a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/050a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/051a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/052a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/053a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/054a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/055a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/056a.jpg,old
tasks/MST/MST_phase2/MST_phase_2_ListA/001b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/002b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/003b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/004b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/005b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/006b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/007b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/008b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/017b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/018b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/019b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/020b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/021b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/022b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/023b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/024b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/033b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/034b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/035b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/036b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/037b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/038b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/039b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/040b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/049b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/050b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/051b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/052b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/053b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/054b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/055b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/056b.jpg,similar
tasks/MST/MST_phase2/MST_phase_2_ListA/058a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/059a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/060a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/061a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/062a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/063a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/064a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/065a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/066a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/067a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/068a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/069a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/070a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/071a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/072a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/073a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/074a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/075a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/076a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/077a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/078a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/079a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/080a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/081a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/082a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/083a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/084a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/085a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/086a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/087a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/088a.jpg,new
tasks/MST/MST_phase2/MST_phase_2_ListA/089a.jpg,new
