stimulus_2	stimulus_1	n	order
Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cucumber.jpg	Episodic_Encoding_symbolic/Episodic_Encoding_ListA/accordion.jpg	1.0	0.0
Episodic_Encoding_symbolic/Episodic_Encoding_ListA/curtain.jpg	Episodic_Encoding_symbolic/Episodic_Encoding_ListA/acorn.jpg	0.0	
Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cushion.jpg	Episodic_Encoding_symbolic/Episodic_Encoding_ListA/anchor.jpg	1.0	1.0
Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cymbal.jpg	Episodic_Encoding_symbolic/Episodic_Encoding_ListA/angels.jpg	0.0	
stimulus_2	stimulus_1	n	order
Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cucumber.jpg	Episodic_Encoding_symbolic/Episodic_Encoding_ListA/accordion.jpg	1.0	0.0
Episodic_Encoding_symbolic/Episodic_Encoding_ListA/curtain.jpg	Episodic_Encoding_symbolic/Episodic_Encoding_ListA/acorn.jpg	0.0	
Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cushion.jpg	Episodic_Encoding_symbolic/Episodic_Encoding_ListA/anchor.jpg	1.0	1.0
Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cymbal.jpg	Episodic_Encoding_symbolic/Episodic_Encoding_ListA/angels.jpg	1.0	2.0
stimulus_2	stimulus_1	n	order
Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cucumber.jpg	Episodic_Encoding_symbolic/Episodic_Encoding_ListA/accordion.jpg	1.0	0.0
Episodic_Encoding_symbolic/Episodic_Encoding_ListA/curtain.jpg	Episodic_Encoding_symbolic/Episodic_Encoding_ListA/acorn.jpg	1.0	3.0
Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cushion.jpg	Episodic_Encoding_symbolic/Episodic_Encoding_ListA/anchor.jpg	1.0	1.0
Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cymbal.jpg	Episodic_Encoding_symbolic/Episodic_Encoding_ListA/angels.jpg	1.0	2.0
