trial_number,prime,target,semstr_category,semstr,dist1,dist2,list_AB,semantic_trials_loop.thisRepN,semantic_trials_loop.thisTrialN,semantic_trials_loop.thisN,semantic_trials_loop.thisIndex,Trial_start,Position1,Position2,Position3,key_response.keys,key_response.corr,Fixation duration,wordlist,participant,session,frameRate,expName,date,
46,date,calendar,2,0.23,cane,signature,A,0,0,0,45,3.81469726562e-06,0,0.5,-0.5,None,0,2.5,A,,001,60.1380465298,Semantic_Task,2017_Nov_13_1701,
37,stone,kidney,1,0.05,morning,bench,A,0,1,1,36,6.46777796745,-0.5,0.5,0,None,0,3.5,A,,001,60.1380465298,Semantic_Task,2017_Nov_13_1701,
49,fork,knife,2,0.33,acorn,grape,A,0,2,2,48,13.9499180317,-0.5,0,0.5,None,0,3.5,A,,001,60.1380465298,Semantic_Task,2017_Nov_13_1701,
43,carpet,rug,2,0.47,mule,hinge,A,0,3,3,42,21.432790041,-0.5,0,0.5,None,0,2.5,A,,001,60.1380465298,Semantic_Task,2017_Nov_13_1701,
40,wax,polish,1,0.14,ranch,cabin,A,0,4,4,39,27.9175348282,-0.5,0.5,0,None,0,2.5,A,,001,60.1380465298,Semantic_Task,2017_Nov_13_1701,
91,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,5,5,90,34.4026210308,-0.5,0,0.5,None,0,2.0,A,,001,60.1380465298,Semantic_Task,2017_Nov_13_1701,
19,leaves,ivy,1,0.01,bass,toy,A,0,6,6,18,40.3890528679,-0.5,0.5,0,None,0,3.0,A,,001,60.1380465298,Semantic_Task,2017_Nov_13_1701,
26,past,legend,1,0.01,topping,claw ,A,0,7,7,25,47.3726220131,0,0.5,-0.5,None,0,1.5,A,,001,60.1380465298,Semantic_Task,2017_Nov_13_1701,
88,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,8,8,87,52.8599660397,-0.5,0,0.5,None,0,3.5,A,,001,60.1380465298,Semantic_Task,2017_Nov_13_1701,
84,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,9,9,83,60.3424680233,0,-0.5,0.5,None,0,1.5,A,,001,60.1380465298,Semantic_Task,2017_Nov_13_1701,
99,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,10,10,98,65.8300988674,-0.5,0.5,0,None,0,2.0,A,,001,60.1380465298,Semantic_Task,2017_Nov_13_1701,
71,shrimp,seafood,2,0.25,gravy,mattress,A,0,11,11,70,71.816272974,0,-0.5,0.5,None,0,3.5,A,,001,60.1380465298,Semantic_Task,2017_Nov_13_1701,
10,doll,toy,1,0.09,bagel,protein,A,0,12,12,9,79.2991218567,0,0.5,-0.5,None,0,2.0,A,,001,60.1380465298,Semantic_Task,2017_Nov_13_1701,
